Hamburger,350,253,1
Cheeseburger,400,302,1
Big Mac,970,503,1
McRoyal,960,521,1
WieśMac,960,581,1
McChicken,890,427,1
Filet-O-Fish,870,331,1
Kurczakburger,400,308,1
Chikker,500,397,1
McDouble,500,393,1
Frytki małe,540,231,2
Frytki średnie,560,330,2
Frytki duże,590,434,2
CocaCola 0.25,350,106,3
CocaCola 0.4,480,170,3
CocaCola 0.5,550,213,3
Fanta 0.25,350,106,3
Fanta 0.4,480,170,3
Fanta 0.5,550,213,3
Sprite 0.25,350,23,3
Sprite 0.4,480,36,3
Sprite 0.5,550,45,3
Sałatka,380,19,4
Sałatka kurczak premium,1340,325,4
Lodowe marzenie czekoladowe,590,357,5
Kurczak McNuggets 6 szt,900,268,5
